ds,yhat,yhat_lower,yhat_upper
2026-03-23 14:19:00,293.0929852994315,292.75869547250295,293.4358774475978
2026-03-23 14:20:00,293.0559976680221,292.7367613462347,293.4136462259172
2026-03-23 14:21:00,293.0173083588362,292.6741464611678,293.3443249277233
2026-03-23 14:22:00,292.97696350450695,292.6376725226487,293.33496827060833
2026-03-23 14:23:00,292.9350091883497,292.5799050717712,293.27390104570503
2026-03-23 14:24:00,292.8914914326364,292.5586035196146,293.24552789041667
2026-03-23 14:25:00,292.8464561813,292.50345267704387,293.17176276052595
2026-03-23 14:26:00,292.7999492909545,292.4771947768776,293.1468196343641
2026-03-23 14:27:00,292.7520165189334,292.40814117426004,293.07860464023685
2026-03-23 14:28:00,292.702703506893,292.36089208978933,293.0590103385218
2026-03-23 14:29:00,292.65205577357443,292.312531000038,292.9938035881713
2026-03-23 14:30:00,292.60011869598674,292.27645360827165,292.927375420031
2026-03-23 14:31:00,292.54693750611386,292.2170911075375,292.8970373852654
2026-03-23 14:32:00,292.4925572692249,292.13400326690123,292.8384448702497
2026-03-23 14:33:00,292.52623832206126,292.18578678276873,292.8621353084517
2026-03-23 14:34:00,292.55877984478275,292.22034785109787,292.9108355351773
2026-03-23 14:35:00,292.59022536921515,292.2543640572243,292.92227256042895
2026-03-23 14:36:00,292.620618273238,292.26082257855035,292.9569126050551
2026-03-23 14:37:00,292.65000176916755,292.3204635397728,292.9980391768977
2026-03-23 14:38:00,292.6784188891698,292.3317887336518,293.0015007803648
2026-03-23 14:39:00,292.70591247780794,292.366003698183,293.0426292989375
2026-03-23 14:40:00,292.7325251738811,292.38109366142265,293.072961921173
2026-03-23 14:41:00,292.75829940852,292.4161031891093,293.1033283214879
2026-03-23 14:42:00,292.7832773856819,292.4476043878898,293.1382640022008
2026-03-23 14:43:00,292.8075010770353,292.4749759094373,293.1367697246142
2026-03-23 14:44:00,292.8310122059114,292.4835524487067,293.1535671684167
2026-03-23 14:45:00,292.85385224226627,292.52151801857764,293.1915319602013
2026-03-23 14:46:00,292.92045399516627,292.58060137789334,293.28139055534797
2026-03-23 14:47:00,292.98644857692324,292.6202506036678,293.3211212709572
2026-03-23 14:48:00,293.0518763906007,292.7312526597589,293.38774523963866
2026-03-23 14:49:00,293.1167775621741,292.75794619916974,293.4698522134185
2026-03-23 14:50:00,293.1811919349993,292.847228121841,293.5350010827442
2026-03-23 14:51:00,293.24515905992746,292.90260696966925,293.57137279281295
2026-03-23 14:52:00,293.30871818072086,293.0039017611413,293.6667971869433
2026-03-23 14:53:00,293.37190823066027,293.03903255240425,293.7105094111195
2026-03-23 14:54:00,293.4347678123096,293.08924677148417,293.7622990260518
2026-03-23 14:55:00,293.49733520426037,293.1688908020887,293.83296111079414
2026-03-23 14:56:00,293.55964833220145,293.2285967957779,293.8809332379418
2026-03-23 14:57:00,293.6217447760591,293.2573478474471,293.9737508130647
2026-03-23 14:58:00,293.6587405808837,293.324213983206,294.0129178476738
2026-03-23 14:59:00,293.69560461536133,293.36015138128835,294.0119730264228
2026-03-23 15:00:00,293.7323733578443,293.3990260295605,294.06671269269776
2026-03-23 15:01:00,293.7690828844716,293.42481570291386,294.0880114590746
2026-03-23 15:02:00,293.80576886604626,293.43647441498433,294.1515478488041
2026-03-23 15:03:00,293.84246655416206,293.52772887107625,294.1690410345911
2026-03-23 15:04:00,293.87921077306,293.5573215761999,294.21464836703024
2026-03-23 15:05:00,293.91603591971796,293.57716407883413,294.2492494073864
2026-03-23 15:06:00,293.9529759438904,293.6302351267683,294.29069302361086
2026-03-23 15:07:00,293.9900643520538,293.6446898440632,294.31228373851275
2026-03-23 15:08:00,294.02733419160916,293.67844276267175,294.34980431701655
2026-03-23 15:09:00,294.06481805135206,293.7529773075354,294.4029050319685
2026-03-23 15:10:00,294.1025480443668,293.76260090717216,294.45197678610265
2026-03-23 15:11:00,294.0328028262924,293.695613995649,294.39348884538174
2026-03-23 15:12:00,293.9634121164418,293.63973563286993,294.3127326301565
2026-03-23 15:13:00,293.89440616386196,293.5446206825375,294.2602695497614
2026-03-23 15:14:00,293.82581467502894,293.47936826029394,294.1784419433679
2026-03-23 15:15:00,293.75766681434305,293.4090385575333,294.11068197484246
2026-03-23 15:16:00,293.68999119695513,293.3666216678207,294.0287174667987
2026-03-23 15:17:00,293.6228158840008,293.31100054671845,293.9519916596168
2026-03-23 15:18:00,293.5561683751036,293.2081036193898,293.9141515659156
2026-03-23 15:19:00,293.4900756133728,293.1464226720424,293.8463333334009
2026-03-23 15:20:00,293.4245639691953,293.08105757283755,293.7386184131416
2026-03-23 15:21:00,293.3596592444345,293.02212777470623,293.718261487984
2026-03-23 15:22:00,293.2953866675787,292.9528055878079,293.656358373653
2026-03-23 15:23:00,293.23177088937575,292.8992555831383,293.58154801416106
2026-03-23 15:24:00,293.13583629494764,292.8102110996192,293.487316943431
2026-03-23 15:25:00,293.0406184422707,292.70181508682816,293.40864501701856
2026-03-23 15:26:00,292.94613998647026,292.6175576649284,293.2559161188142
2026-03-23 15:27:00,292.8524229806489,292.4934812301403,293.17036337399145
2026-03-23 15:28:00,292.75948887398573,292.40139446699925,293.0945549923842
2026-03-23 15:29:00,292.6673585176315,292.3372537241318,293.0062696905811
2026-03-23 15:30:00,292.57605215115404,292.22829482421065,292.91695998437905
2026-03-23 15:31:00,292.48558941009475,292.15907959709597,292.8271588248268
2026-03-23 15:32:00,292.3959893213535,292.0413348028733,292.7435594328828
2026-03-23 15:33:00,292.30727030253377,291.97013475803567,292.6515226313578
2026-03-23 15:34:00,292.21945015878913,291.8832414015224,292.5285267772057
2026-03-23 15:35:00,292.1325460849914,291.7861113225361,292.48543611336976
2026-03-23 15:36:00,292.0465746660813,291.70634226526835,292.3841448107538
2026-03-23 15:37:00,292.00664684999276,291.66504316461385,292.34803072080257
2026-03-23 15:38:00,291.9676694379294,291.61799167981854,292.30883108339094
2026-03-23 15:39:00,291.92965762154586,291.57396429868766,292.28883309450833
2026-03-23 15:40:00,291.8926259958677,291.5629398260352,292.2141052848249
2026-03-23 15:41:00,291.85658854760965,291.4928119585537,292.19461747782685
2026-03-23 15:42:00,291.821558660555,291.4869103033568,292.15531659940956
2026-03-23 15:43:00,291.78754912093325,291.44202346437936,292.11265362443464
2026-03-23 15:44:00,291.7545721073218,291.4243471017476,292.10246611804394
2026-03-23 15:45:00,291.72263919871887,291.37685168148346,292.0573026953478
2026-03-23 15:46:00,291.6917613751489,291.3490015067022,292.02557740679686
2026-03-23 15:47:00,291.6619490154839,291.326837854913,292.00124531628643
2026-03-23 15:48:00,291.6332119023407,291.28554877943327,291.9749823616731
2026-03-23 15:49:00,291.60555921648887,291.25729394875844,291.93979797616953
2026-03-23 15:50:00,291.5829893362569,291.28055229219046,291.9387018266738
2026-03-23 15:51:00,291.5615196374348,291.21151190621674,291.89181627645297
2026-03-23 15:52:00,291.54115757120167,291.21517849775717,291.8793970685876
2026-03-23 15:53:00,291.5219099992254,291.2063267283508,291.8504126649325
2026-03-23 15:54:00,291.5037831975415,291.1579287197504,291.85086721560856
2026-03-23 15:55:00,291.4867828561961,291.1408909412612,291.81517950950155
2026-03-23 15:56:00,291.4709140847118,291.11607117706774,291.80037924562896
2026-03-23 15:57:00,291.45618141603194,291.08597057599474,291.7943849606533
2026-03-23 15:58:00,291.44258880556896,291.0950139311369,291.77271252764996
2026-03-23 15:59:00,291.43013963523947,291.08117752763616,291.7578578981632
2026-03-23 16:00:00,291.41883672132377,291.05790237034074,291.78457898956947
2026-03-23 16:01:00,291.40868231103406,291.0680577655415,291.75673024366125
2026-03-23 16:02:00,291.3996780930203,291.0687626566583,291.73102463066544
2026-03-23 16:03:00,291.3511455712474,291.015217555076,291.68193906813804
2026-03-23 16:04:00,291.3037693197364,290.9765774723055,291.6364472733861
2026-03-23 16:05:00,291.25754887812724,290.91950817701763,291.59157101036095
