feature,importance
obv,0.11036943
ema_20,0.06822426
close,0.065737166
bb_upper,0.065429844
ema_50,0.063139424
macd,0.06290339
high,0.06136635
atr_14,0.060447186
rsi_14,0.05750468
open,0.056841545
macd_signal,0.056814414
macd_hist,0.05618396
bb_middle,0.05604463
volume,0.053632136
low,0.05319166
bb_lower,0.052170016
