ds,yhat,yhat_lower,yhat_upper
2026-03-23 04:09:00,1226.3856282622419,1225.5830166993912,1227.1329315807811
2026-03-23 04:10:00,1226.4736246759476,1225.7165748688763,1227.2780760524602
2026-03-23 04:11:00,1226.5505104728365,1225.7807534411,1227.3210189102513
2026-03-23 04:12:00,1226.6161041469463,1225.7873027179394,1227.3862093920507
2026-03-23 04:13:00,1226.670227442484,1225.8341042358961,1227.4111795016504
2026-03-23 04:14:00,1226.712705426678,1225.8665395461537,1227.4765670774582
2026-03-23 04:15:00,1226.7433665444962,1226.0277872308034,1227.4892051239674
2026-03-23 04:16:00,1226.730550684678,1225.9425529541104,1227.464776107475
2026-03-23 04:17:00,1226.705578962428,1225.9359830408894,1227.473839284165
2026-03-23 04:18:00,1226.6682913253258,1225.9440250173614,1227.4284594292553
2026-03-23 04:19:00,1226.6185313746587,1225.8127797668578,1227.39645314983
2026-03-23 04:20:00,1226.5561464352472,1225.7735429517825,1227.3420129361045
2026-03-23 04:21:00,1226.4809876180298,1225.6789901474099,1227.244096366165
2026-03-23 04:22:00,1226.2136744710217,1225.4063309557034,1226.9424261752893
2026-03-23 04:23:00,1225.9332875568537,1225.1325273356445,1226.730393536272
2026-03-23 04:24:00,1225.6396954611218,1224.8497527008383,1226.4187958122493
2026-03-23 04:25:00,1225.3327708720828,1224.5623031269183,1226.0720538459311
2026-03-23 04:26:00,1225.012390616053,1224.1823995810594,1225.778313858238
2026-03-23 04:27:00,1224.612982319521,1223.865165582883,1225.342318919627
2026-03-23 04:28:00,1224.1998868352478,1223.3756470542792,1224.972994000959
2026-03-23 04:29:00,1223.7729959378514,1223.017095616835,1224.565021367964
2026-03-23 04:30:00,1223.332205768821,1222.5706693498141,1224.1582410009798
2026-03-23 04:31:00,1222.8774168804875,1222.148400547406,1223.6701634445083
2026-03-23 04:32:00,1222.408534276234,1221.596473596297,1223.2012070148467
2026-03-23 04:33:00,1223.000120128433,1222.2351615364435,1223.8132779627979
2026-03-23 04:34:00,1223.5772514553141,1222.7990532973301,1224.3679056559156
2026-03-23 04:35:00,1224.1398087932826,1223.353797644254,1224.8788930123512
2026-03-23 04:36:00,1224.6876769573291,1223.882433494082,1225.4437095479652
2026-03-23 04:37:00,1225.220745111044,1224.3913115791236,1226.0315451219815
2026-03-23 04:38:00,1225.7389068183686,1224.9986706606298,1226.538842231989
2026-03-23 04:39:00,1225.677254278332,1224.9100309023218,1226.4078648524905
2026-03-23 04:40:00,1225.6006740249159,1224.8592580540978,1226.3182287311733
2026-03-23 04:41:00,1225.5090938114752,1224.7007119652171,1226.2748714603165
2026-03-23 04:42:00,1225.402446112988,1224.628505954968,1226.2192901783162
2026-03-23 04:43:00,1225.2806681598668,1224.5288534864976,1226.0451591816434
2026-03-23 04:44:00,1225.143701970985,1224.4109024886209,1225.9617669982808
2026-03-23 04:45:00,1225.236192080799,1224.4062983975803,1226.0282928274848
2026-03-23 04:46:00,1225.3132789979356,1224.5514069337792,1226.0947612554414
2026-03-23 04:47:00,1225.374910168627,1224.5873668231345,1226.1870689179837
2026-03-23 04:48:00,1225.421037922449,1224.6769811050963,1226.2228935460143
2026-03-23 04:49:00,1225.4516195280148,1224.6467994214731,1226.2471789155766
2026-03-23 04:50:00,1225.571689369219,1224.756873203882,1226.3896248967635
2026-03-23 04:51:00,1225.676080505718,1224.881743754715,1226.3966001167612
2026-03-23 04:52:00,1225.764761193512,1224.9639373617115,1226.547659626144
2026-03-23 04:53:00,1225.8377047228191,1225.1011112225547,1226.6196474389048
2026-03-23 04:54:00,1225.8948894544794,1225.120911343882,1226.7112922022368
2026-03-23 04:55:00,1225.936298845114,1225.1932026071354,1226.7967300479763
2026-03-23 04:56:00,1226.0129233690686,1225.294359314831,1226.7679547674684
2026-03-23 04:57:00,1226.0737169789625,1225.2378371726056,1226.8481115273573
2026-03-23 04:58:00,1226.1186766091546,1225.3129586265532,1226.8866465043893
2026-03-23 04:59:00,1226.1478044119626,1225.3475454691118,1226.9663821373445
2026-03-23 05:00:00,1226.1611077151356,1225.3600688094275,1226.930436036276
2026-03-23 05:01:00,1226.1585990870362,1225.3949535917186,1226.9111801035244
2026-03-23 05:02:00,1226.1950862247213,1225.3310266046294,1226.9871767890038
2026-03-23 05:03:00,1226.2157532618178,1225.4315089153242,1227.0390376652763
2026-03-23 05:04:00,1226.2206264719412,1225.442758442137,1227.0220704748851
2026-03-23 05:05:00,1226.2097374240943,1225.3995762469535,1226.9645397603972
2026-03-23 05:06:00,1226.183122982978,1225.3919106967198,1227.0051738972186
2026-03-23 05:07:00,1226.1408253249658,1225.4141070691896,1226.9736495997477
2026-03-23 05:08:00,1225.8846033058637,1225.1344228389944,1226.658113819799
2026-03-23 05:09:00,1225.613005759742,1224.7407645991807,1226.4156176320985
2026-03-23 05:10:00,1225.326098062138,1224.5902337297412,1226.1370201392388
2026-03-23 05:11:00,1225.0239508664527,1224.257999418242,1225.784574432773
2026-03-23 05:12:00,1224.706640077099,1223.8971039498,1225.4638418181662
2026-03-23 05:13:00,1225.162399711345,1224.367911340063,1225.9575135072478
2026-03-23 05:14:00,1225.602241784424,1224.870370199276,1226.3795659612674
2026-03-23 05:15:00,1226.026230076338,1225.168866594525,1226.7886302444258
2026-03-23 05:16:00,1226.4344338667574,1225.6075728385565,1227.1851346853023
2026-03-23 05:17:00,1226.8269279765623,1226.0737226431963,1227.5951159745866
2026-03-23 05:18:00,1227.2037927613899,1226.3929061799945,1227.9822228147204
2026-03-23 05:19:00,1226.879495156831,1226.0756541907588,1227.660834901266
2026-03-23 05:20:00,1226.540645794462,1225.7430311370597,1227.3443622544205
2026-03-23 05:21:00,1226.1873647691975,1225.3812185900638,1226.9412162914668
2026-03-23 05:22:00,1225.8197773885208,1225.0624406318288,1226.5691085757558
2026-03-23 05:23:00,1225.4380141692925,1224.6937553061798,1226.1500621272412
2026-03-23 05:24:00,1225.0422107820211,1224.1782557052657,1225.8105027221156
2026-03-23 05:25:00,1225.1712094879965,1224.3779000184245,1225.9193174015777
2026-03-23 05:26:00,1225.2856734404602,1224.5090862176905,1226.0636717926416
2026-03-23 05:27:00,1225.38573663872,1224.6159095996256,1226.1120280954724
2026-03-23 05:28:00,1225.4715384604733,1224.697936869946,1226.231799452975
2026-03-23 05:29:00,1225.5432236280797,1224.7984963416031,1226.3321927803736
2026-03-23 05:30:00,1225.6009421860117,1224.8243628873395,1226.3745442520283
2026-03-23 05:31:00,1225.6381180359513,1224.8667025870368,1226.3382272797896
2026-03-23 05:32:00,1225.6616539317627,1224.8324520383205,1226.386186628118
2026-03-23 05:33:00,1225.6717159631994,1224.8957386692553,1226.4076960186965
2026-03-23 05:34:00,1225.6684754754353,1224.8674538833236,1226.4081974762087
2026-03-23 05:35:00,1225.652108972125,1224.8478648029552,1226.4309596195135
2026-03-23 05:36:00,1225.670855129269,1224.9055295142641,1226.478666007017
2026-03-23 05:37:00,1225.6767630354702,1224.9183433393591,1226.4892026986497
2026-03-23 05:38:00,1225.670023323581,1224.8918240167354,1226.4233519243733
2026-03-23 05:39:00,1225.65083172965,1224.8486234995657,1226.3632993341848
2026-03-23 05:40:00,1225.6193890394081,1224.80943989549,1226.3606262262697
2026-03-23 05:41:00,1225.5759010569434,1224.7527742035518,1226.28331286837
2026-03-23 05:42:00,1225.5517904967865,1224.7382617930846,1226.2820602315887
2026-03-23 05:43:00,1225.5160052576884,1224.7320560375128,1226.3101611835436
2026-03-23 05:44:00,1225.468765233107,1224.6729959984755,1226.27780092957
2026-03-23 05:45:00,1225.4102951690068,1224.6773746102097,1226.1767671890614
2026-03-23 05:46:00,1225.3408246345439,1224.6077298798084,1226.1233025182837
2026-03-23 05:47:00,1225.2605879913106,1224.4371358619312,1226.0147848307124
2026-03-23 05:48:00,1225.2816384267785,1224.4574526852598,1226.0960968355953
2026-03-23 05:49:00,1225.2921944452398,1224.5069288214418,1226.020254188167
2026-03-23 05:50:00,1225.2925022351296,1224.5071834969613,1226.041090904877
2026-03-23 05:51:00,1225.2828126025267,1224.507881086709,1226.0481674521322
2026-03-23 05:52:00,1225.2633810074053,1224.4802366377764,1226.0193292873432
2026-03-23 05:53:00,1225.234467416369,1224.4357070786634,1225.999143639473
2026-03-23 05:54:00,1225.5803498764565,1224.7649467265555,1226.366546659577
2026-03-23 05:55:00,1225.9165267621552,1225.1207578341077,1226.6693664882257
2026-03-23 05:56:00,1226.2432653566561,1225.4110553339663,1227.0347957360457
2026-03-23 05:57:00,1226.5608376120338,1225.7916927118956,1227.38963116986
2026-03-23 05:58:00,1226.869520115309,1226.0815317054166,1227.6520823926387
2026-03-23 05:59:00,1226.337356915769,1225.4723204819547,1227.0733361482273
2026-03-23 06:00:00,1225.798558871365,1224.989751483585,1226.5922317406585
2026-03-23 06:01:00,1225.2534259941244,1224.4764541459365,1226.0170199555619
2026-03-23 06:02:00,1224.7022618034982,1223.9597372326143,1225.4927565006712
2026-03-23 06:03:00,1224.1453732668533,1223.370081574526,1224.8840968786972
2026-03-23 06:04:00,1223.5830706927036,1222.7766560113378,1224.4182030270533
2026-03-23 06:05:00,1223.680032375808,1222.9682187193318,1224.4650085713988
2026-03-23 06:06:00,1223.7708275499392,1222.9309963181238,1224.546675994587
2026-03-23 06:07:00,1223.8557711969925,1223.0437305486719,1224.6586394712983
2026-03-23 06:08:00,1223.9351820880952,1223.1310062766845,1224.7527209502098
2026-03-23 06:09:00,1224.0093826015368,1223.257146477721,1224.7613565765582
2026-03-23 06:10:00,1224.0786987123977,1223.3127210082462,1224.9171475477349
2026-03-23 06:11:00,1224.1914222164303,1223.443811458605,1225.0061657978645
2026-03-23 06:12:00,1224.2998221795885,1223.4729622926811,1225.0874753200837
2026-03-23 06:13:00,1224.4042347175125,1223.669599087632,1225.1345939806536
2026-03-23 06:14:00,1224.5049992010775,1223.7158149376219,1225.2161944320055
2026-03-23 06:15:00,1224.6024582251102,1223.7573988187455,1225.3228629520293
2026-03-23 06:16:00,1224.6969575094324,1223.9002551595624,1225.5132639630085
2026-03-23 06:17:00,1224.8795814466441,1224.0724265091014,1225.6615020655508
2026-03-23 06:18:00,1225.0597526834567,1224.2736767573385,1225.8522203464445
2026-03-23 06:19:00,1225.2378259846073,1224.4501062914646,1225.9815505860117
2026-03-23 06:20:00,1225.4141589550686,1224.6479098129757,1226.232825454069
2026-03-23 06:21:00,1225.589111973868,1224.8473782131177,1226.3554243220112
2026-03-23 06:22:00,1225.6468342141984,1224.881277780334,1226.4564021787774
2026-03-23 06:23:00,1225.7041524283732,1224.9545396793137,1226.5077790350736
2026-03-23 06:24:00,1225.7614338822966,1225.0091157499046,1226.5734837738703
2026-03-23 06:25:00,1225.8190480669828,1225.0673222786347,1226.6014862940708
2026-03-23 06:26:00,1225.8773665875676,1225.124825630767,1226.689068098737
2026-03-23 06:27:00,1225.9367631190787,1225.161817028271,1226.7064176614258
2026-03-23 06:28:00,1226.1488500453565,1225.3442004390702,1226.9740308616128
2026-03-23 06:29:00,1226.3624496801199,1225.6083559252615,1227.1299280547803
2026-03-23 06:30:00,1226.5779429928712,1225.8157947304258,1227.3314499760934
