feature,importance
obv,0.12498614
ema_50,0.083332546
low,0.06489546
atr_14,0.064234346
close,0.063674316
bb_middle,0.059625745
rsi_14,0.059383042
macd,0.056395333
bb_upper,0.0557603
ema_20,0.055084437
macd_signal,0.054198097
volume,0.053192243
high,0.053124394
macd_hist,0.051975094
bb_lower,0.050758313
open,0.04938015
