ds,yhat,yhat_lower,yhat_upper
2026-03-23 04:09:00,1026.7655410698617,1025.801008098664,1027.6764332632265
2026-03-23 04:10:00,1026.7914287733163,1025.7827340852514,1027.8239182648197
2026-03-23 04:11:00,1026.8076232894548,1025.899525469937,1027.7720752943555
2026-03-23 04:12:00,1026.8140216665618,1025.8828755884804,1027.8451236598416
2026-03-23 04:13:00,1026.810524117423,1025.8629869057652,1027.8089858301835
2026-03-23 04:14:00,1026.7970340666723,1025.8228332204155,1027.7936330229645
2026-03-23 04:15:00,1026.773458177709,1025.8332194784111,1027.7640886702773
2026-03-23 04:16:00,1026.442858254784,1025.4379574524833,1027.4745510746363
2026-03-23 04:17:00,1026.1019759064127,1025.2098647795694,1027.167259613489
2026-03-23 04:18:00,1025.750736742655,1024.792859356918,1026.6969447299987
2026-03-23 04:19:00,1025.3890698587709,1024.436438042939,1026.323633026247
2026-03-23 04:20:00,1025.016907875498,1024.0694147151255,1025.957481208311
2026-03-23 04:21:00,1024.6341869646624,1023.6628931467947,1025.6100712922118
2026-03-23 04:22:00,1024.2524012729814,1023.2999853195445,1025.2547875157848
2026-03-23 04:23:00,1023.8599391072743,1022.8732234922645,1024.88305137512
2026-03-23 04:24:00,1023.4567470855017,1022.5020699795647,1024.4921329143278
2026-03-23 04:25:00,1023.0427754860159,1022.0665978362564,1024.0311493432405
2026-03-23 04:26:00,1022.6179782561632,1021.6687245411337,1023.6264859214324
2026-03-23 04:27:00,1022.2961209907548,1021.2451102684579,1023.2600602997004
2026-03-23 04:28:00,1021.9633386075598,1021.0424310706898,1023.0229422178418
2026-03-23 04:29:00,1021.6195925321359,1020.68197808257,1022.6100725549996
2026-03-23 04:30:00,1021.264847931412,1020.2960206795583,1022.2629549908012
2026-03-23 04:31:00,1020.8990737315316,1019.9573062397044,1021.8682098565033
2026-03-23 04:32:00,1020.5222426349801,1019.616781195344,1021.589284085158
2026-03-23 04:33:00,1020.9307456669084,1019.9732367671469,1021.9266523043736
2026-03-23 04:34:00,1021.327915146329,1020.2604829379293,1022.2640660462791
2026-03-23 04:35:00,1021.7137089887841,1020.7186823490534,1022.6825854874509
2026-03-23 04:36:00,1022.0880888756562,1021.1738268180904,1023.121976700786
2026-03-23 04:37:00,1022.4510202928345,1021.4422155104152,1023.4851187437521
2026-03-23 04:38:00,1022.8024725576573,1021.8429645415156,1023.7822637979452
2026-03-23 04:39:00,1022.346229080657,1021.3594516131193,1023.2622805507413
2026-03-23 04:40:00,1021.878795599887,1020.9197747626022,1022.8858981152231
2026-03-23 04:41:00,1021.4001794474,1020.4907401793391,1022.3624226039544
2026-03-23 04:42:00,1020.9103918672037,1019.8785858057558,1021.8960397942437
2026-03-23 04:43:00,1020.4094480192857,1019.3753703839182,1021.371265656711
2026-03-23 04:44:00,1019.8973669801609,1018.9403405650825,1020.9285135787477
2026-03-23 04:45:00,1019.4776448071448,1018.5267428861904,1020.398841321865
2026-03-23 04:46:00,1019.0467775468044,1018.0546711233329,1020.0973970738887
2026-03-23 04:47:00,1018.6047926392758,1017.5927050208871,1019.5444885303856
2026-03-23 04:48:00,1018.1517214509056,1017.1513080241866,1019.0627784155188
2026-03-23 04:49:00,1017.687599291511,1016.6892827007437,1018.6722043912353
2026-03-23 04:50:00,1017.478207825653,1016.4881259345134,1018.4704031523106
2026-03-23 04:51:00,1017.2576699639001,1016.3519070488423,1018.2497030806483
2026-03-23 04:52:00,1017.026024154237,1016.0374912089028,1018.0245689114341
2026-03-23 04:53:00,1016.7833128055405,1015.8337074676183,1017.7090398531113
2026-03-23 04:54:00,1016.5295822953234,1015.5139480947596,1017.5163080036825
2026-03-23 04:55:00,1016.2648829624987,1015.3075145474038,1017.2904966651927
2026-03-23 04:56:00,1016.394068986543,1015.4143296689947,1017.3205150300707
2026-03-23 04:57:00,1016.5120751428806,1015.5158429826486,1017.5161989451151
2026-03-23 04:58:00,1016.6189508242769,1015.5938199246696,1017.5991717295484
2026-03-23 04:59:00,1016.7147494973595,1015.739870680536,1017.7487932333044
2026-03-23 05:00:00,1016.7995286504287,1015.7863278333231,1017.810875731912
2026-03-23 05:01:00,1016.8733498286263,1015.9069646886012,1017.9224978031905
2026-03-23 05:02:00,1017.0795274134181,1016.0916017272531,1018.115283023245
2026-03-23 05:03:00,1017.2747495929823,1016.301118438558,1018.3018719862279
2026-03-23 05:04:00,1017.4590856718065,1016.5141690817348,1018.4346482777506
2026-03-23 05:05:00,1017.6326090316533,1016.6253952220867,1018.6392372435565
2026-03-23 05:06:00,1017.7953971155308,1016.8336696159462,1018.720044325381
2026-03-23 05:07:00,1017.9475314263576,1016.9764246962768,1018.9602986837942
2026-03-23 05:08:00,1018.179407151773,1017.1676272423039,1019.1660017894295
2026-03-23 05:09:00,1018.4007096771223,1017.4823522547216,1019.4736828253534
2026-03-23 05:10:00,1018.6115300371259,1017.5518531985408,1019.5928667958439
2026-03-23 05:11:00,1018.8119633207527,1017.8303777281611,1019.7497406583323
2026-03-23 05:12:00,1019.0021086413814,1017.9808434061133,1019.9980682150119
2026-03-23 05:13:00,1018.5344733036294,1017.5364443265227,1019.506334388024
2026-03-23 05:14:00,1018.0575003934115,1017.0066904918392,1019.0059857506344
2026-03-23 05:15:00,1017.5713184083231,1016.5484168517395,1018.5632042589854
2026-03-23 05:16:00,1017.0760594569191,1016.0602012722865,1018.0978252497775
2026-03-23 05:17:00,1016.5718592569002,1015.5800577673475,1017.5232307401257
2026-03-23 05:18:00,1016.0588570958529,1015.088097534898,1016.9818108345302
2026-03-23 05:19:00,1016.0423307427056,1015.0441895088143,1017.0154016576578
2026-03-23 05:20:00,1016.0166600430396,1015.0325395450805,1016.9418257278567
2026-03-23 05:21:00,1015.9819824948255,1014.977596193973,1016.9271285569844
2026-03-23 05:22:00,1015.9384393333776,1014.9530769861674,1016.8594609227489
2026-03-23 05:23:00,1015.8861755132594,1014.9404964268447,1016.8354284126871
2026-03-23 05:24:00,1015.8253396528039,1014.8331886652544,1016.7473307345454
2026-03-23 05:25:00,1015.7517113759251,1014.6817095354273,1016.7416015020266
2026-03-23 05:26:00,1015.6698251023009,1014.7054581465974,1016.6103201116933
2026-03-23 05:27:00,1015.5798403783743,1014.5195378589881,1016.5110826689569
2026-03-23 05:28:00,1015.48192029437,1014.5086059185126,1016.4476828645575
2026-03-23 05:29:00,1015.376231435274,1014.4060580448814,1016.3155562927384
2026-03-23 05:30:00,1015.2629438405386,1014.3285764875693,1016.2494704384329
2026-03-23 05:31:00,1015.8939665233232,1014.8845113790047,1016.9066299016732
2026-03-23 05:32:00,1016.5166623898399,1015.555147162832,1017.5038751595241
2026-03-23 05:33:00,1017.1311978483975,1016.1403627672775,1018.1649758080481
2026-03-23 05:34:00,1017.7377432004773,1016.7292642985392,1018.6900751320005
2026-03-23 05:35:00,1018.3364725556904,1017.3036953621031,1019.3108366059276
2026-03-23 05:36:00,1018.5914951253469,1017.6032698626811,1019.5358648310657
2026-03-23 05:37:00,1018.8395644809203,1017.846098289144,1019.9135721142002
2026-03-23 05:38:00,1019.0808712202053,1018.0898738802287,1019.9806566755746
2026-03-23 05:39:00,1019.3156093570268,1018.3742393867245,1020.2932014812288
2026-03-23 05:40:00,1019.5439762638684,1018.5821736377211,1020.4552719812979
2026-03-23 05:41:00,1019.7661726317114,1018.7758949540298,1020.6901239772992
2026-03-23 05:42:00,1019.565183421366,1018.5582477153883,1020.5185363605128
2026-03-23 05:43:00,1019.3590855895219,1018.421880016984,1020.301195283679
2026-03-23 05:44:00,1019.1480943743142,1018.1507488771389,1020.0362238841639
2026-03-23 05:45:00,1018.9324277551776,1017.8969720074659,1019.8977656769298
2026-03-23 05:46:00,1018.712306407719,1017.7007793863372,1019.6906418922082
2026-03-23 05:47:00,1018.4879536574085,1017.5468194690066,1019.4907426024428
2026-03-23 05:48:00,1019.1365061640387,1018.2006524965768,1020.1443085362496
2026-03-23 05:49:00,1019.7798720062391,1018.7575597499081,1020.763760197303
2026-03-23 05:50:00,1020.4182753569055,1019.4097345135377,1021.3954061584853
2026-03-23 05:51:00,1021.0519435710961,1020.1011191578729,1022.0474331076141
