feature,importance
bb_upper,0.070083745
rsi_14,0.069152825
close,0.06801034
ema_50,0.06724057
atr_14,0.0666985
macd,0.065486535
high,0.065292425
volume,0.063327074
bb_lower,0.061178554
ema_20,0.060975574
open,0.060590357
low,0.05964035
macd_signal,0.059601065
obv,0.056423437
macd_hist,0.055491
bb_middle,0.05080764
