feature,importance
close,0.102936774
high,0.07787471
ema_50,0.07421867
low,0.07230932
atr_14,0.07227672
macd,0.072107986
rsi_14,0.07069255
open,0.068556555
macd_hist,0.06720247
macd_signal,0.066326305
bb_lower,0.06564322
bb_upper,0.06518429
bb_middle,0.06278309
ema_20,0.06188734
volume,0.0
obv,0.0
