feature,importance
ema_50,0.070845686
macd_signal,0.06682815
atr_14,0.06650045
ema_20,0.06584432
obv,0.06539538
macd,0.065192014
bb_middle,0.063823305
close,0.062174175
high,0.06206853
low,0.06054794
bb_upper,0.06017867
macd_hist,0.060062777
rsi_14,0.059298918
volume,0.05788866
bb_lower,0.057154376
open,0.056196656
