ds,yhat,yhat_lower,yhat_upper
2026-03-23 04:09:00,2385.745229826036,2383.1387552692104,2388.0887211567338
2026-03-23 04:10:00,2388.168586819809,2385.7870344331154,2390.751911255392
2026-03-23 04:11:00,2390.5432767622315,2388.057604511609,2392.984832902178
2026-03-23 04:12:00,2392.868577185034,2390.406963729925,2395.425768275698
2026-03-23 04:13:00,2395.143780591097,2392.751262107771,2397.541114785582
2026-03-23 04:14:00,2397.368194655512,2394.7791567418653,2399.8602378807273
2026-03-23 04:15:00,2399.5411424770837,2397.2747781899807,2402.0064580292756
2026-03-23 04:16:00,2398.804367552335,2396.182582922199,2401.2951365096624
2026-03-23 04:17:00,2398.0106626164857,2395.535384284446,2400.6882137731113
2026-03-23 04:18:00,2397.15959062924,2394.861213755189,2399.66191527262
2026-03-23 04:19:00,2396.25073368318,2393.717552750256,2398.6354574605043
2026-03-23 04:20:00,2395.2836930578246,2392.7550453471304,2397.749608827917
2026-03-23 04:21:00,2394.2580894353036,2391.8006923392136,2396.8108304439834
2026-03-23 04:22:00,2394.5287147908375,2392.093337985318,2397.0147129453057
2026-03-23 04:23:00,2394.7416675934824,2392.2346855289584,2397.1962347393724
2026-03-23 04:24:00,2394.8965307169747,2392.442794551291,2397.500747640548
2026-03-23 04:25:00,2394.9929056381065,2392.3701939030107,2397.425251693664
2026-03-23 04:26:00,2395.0304125542802,2392.5180623544493,2397.3800566720097
2026-03-23 04:27:00,2395.114979954216,2392.638104714809,2397.471690529263
2026-03-23 04:28:00,2395.1400752634454,2392.631876740995,2397.836416734655
2026-03-23 04:29:00,2395.105367685152,2392.52262328203,2397.415108235808
2026-03-23 04:30:00,2395.0105454941263,2392.6711903193036,2397.497373145249
2026-03-23 04:31:00,2394.855316160212,2392.2824580695365,2397.028167392764
2026-03-23 04:32:00,2394.6394064248834,2392.29980513747,2397.1377753494085
2026-03-23 04:33:00,2395.4744329025693,2392.837895500734,2397.882338322158
2026-03-23 04:34:00,2396.248990542196,2393.8190369817416,2398.686525110857
2026-03-23 04:35:00,2396.962779754049,2394.3900091172027,2399.5522133999248
2026-03-23 04:36:00,2397.6155199974664,2395.1071383949625,2400.148653831176
2026-03-23 04:37:00,2398.206949916276,2395.614707189336,2400.677261432519
2026-03-23 04:38:00,2398.7368273957195,2396.243137792569,2401.2180996920374
2026-03-23 04:39:00,2399.2057685594177,2396.683967030819,2401.7019154005347
2026-03-23 04:40:00,2399.6127315252975,2397.0578292015275,2402.1837727590246
2026-03-23 04:41:00,2399.9575324616517,2397.4736166434777,2402.4867977917065
2026-03-23 04:42:00,2400.2400071567104,2397.771559957463,2402.699517890767
2026-03-23 04:43:00,2400.4600110645656,2397.993809488553,2402.9074404679027
2026-03-23 04:44:00,2400.6174193822667,2398.1364161433903,2403.1530131465424
2026-03-23 04:45:00,2401.1859000651216,2398.685236086528,2403.5824754427085
2026-03-23 04:46:00,2401.691599156504,2399.1143673346223,2404.2235496023254
2026-03-23 04:47:00,2402.134414209028,2399.310434163625,2404.7177101404504
2026-03-23 04:48:00,2402.514262665712,2400.083455129274,2405.0154313499274
2026-03-23 04:49:00,2402.8310819491353,2400.1250276349065,2405.4525437687307
2026-03-23 04:50:00,2401.8655978517913,2399.372359442424,2404.451500457771
2026-03-23 04:51:00,2400.837328314381,2398.335215207418,2403.3247849169907
