feature,importance
ema_50,0.06936518
close,0.067296214
ema_20,0.06674112
macd,0.0655143
obv,0.06440808
rsi_14,0.06369791
high,0.06348015
macd_signal,0.06295674
macd_hist,0.062946945
open,0.06263818
atr_14,0.06147668
bb_middle,0.059618916
low,0.059063006
volume,0.058433548
bb_upper,0.05817841
bb_lower,0.054184597
