feature,importance
obv,0.114505105
ema_50,0.085057504
atr_14,0.07777427
close,0.0688445
bb_middle,0.061964408
macd_signal,0.058234956
bb_upper,0.057757292
macd,0.05759735
rsi_14,0.055991687
bb_lower,0.05498664
high,0.053918514
ema_20,0.052395754
open,0.051924273
low,0.050647814
volume,0.049967356
macd_hist,0.04843257
