feature,importance
high,0.07696259
obv,0.07021591
low,0.06926398
open,0.06828749
atr_14,0.066579714
close,0.064347535
rsi_14,0.06376437
macd,0.06372638
volume,0.0616723
bb_upper,0.05887285
macd_signal,0.058130223
macd_hist,0.057500463
bb_lower,0.05658255
ema_20,0.05650631
ema_50,0.05504473
bb_middle,0.052542567
