ds,yhat,yhat_lower,yhat_upper
2026-03-23 04:09:00,1244.2182533806351,1242.7548328633773,1245.6229089915075
2026-03-23 04:10:00,1245.5787541125742,1244.0136048978025,1246.9484704790689
2026-03-23 04:11:00,1246.8647169264507,1245.4970575761959,1248.3156512797534
2026-03-23 04:12:00,1248.0752943220125,1246.628842379429,1249.478991911048
2026-03-23 04:13:00,1249.209661006348,1247.7364831684556,1250.749653929934
2026-03-23 04:14:00,1250.2670142060606,1248.8309706669554,1251.5915535640747
2026-03-23 04:15:00,1251.2465739235404,1249.7564336583878,1252.6349107766248
2026-03-23 04:16:00,1251.0400233911942,1249.5656764037521,1252.4750090707598
2026-03-23 04:17:00,1250.7525417582908,1249.3545017774056,1252.2563924277
2026-03-23 04:18:00,1250.383631071379,1248.8856226012467,1251.825617333768
2026-03-23 04:19:00,1249.9328197864186,1248.4462615077998,1251.2754342036874
2026-03-23 04:20:00,1249.399662946121,1247.9771691632593,1250.9426718072605
2026-03-23 04:21:00,1248.783742364232,1247.4324532891792,1250.184623176659
2026-03-23 04:22:00,1249.1021160627577,1247.663148354218,1250.5694842714265
2026-03-23 04:23:00,1249.3376860987553,1247.947353188816,1250.8224347966343
2026-03-23 04:24:00,1249.4899119097004,1248.091802677007,1250.9618169968699
2026-03-23 04:25:00,1249.5582784140183,1248.188009999358,1251.0047149311797
2026-03-23 04:26:00,1249.5422961533707,1248.2377447950087,1250.9638873907652
2026-03-23 04:27:00,1249.4473792048489,1248.0616963327586,1250.950598343674
2026-03-23 04:28:00,1249.2672125289694,1247.8604870442143,1250.7434047940842
2026-03-23 04:29:00,1249.0013835907182,1247.5724050577014,1250.4460703787643
2026-03-23 04:30:00,1248.649506268106,1247.127616860099,1249.9825527536448
2026-03-23 04:31:00,1248.2112210243752,1246.858076219163,1249.6641455866247
2026-03-23 04:32:00,1247.6861950591317,1246.2675653521228,1249.1796250481302
2026-03-23 04:33:00,1248.004068068853,1246.4717602873313,1249.479498150476
2026-03-23 04:34:00,1248.2338674061787,1246.7936561146694,1249.6648602860446
2026-03-23 04:35:00,1248.375145059003,1247.0186624595283,1249.8565819130251
2026-03-23 04:36:00,1248.4274794821692,1247.0276052753866,1249.8735457811401
2026-03-23 04:37:00,1248.3904758825067,1246.9344113287104,1249.8522384115242
2026-03-23 04:38:00,1248.263766428199,1246.8667766252022,1249.8067194364062
2026-03-23 04:39:00,1248.4909435576656,1246.960501425898,1249.7946625184147
2026-03-23 04:40:00,1248.6270237428105,1247.0838794004558,1250.1394836304644
