feature,importance
atr_14,0.069839835
obv,0.06793699
low,0.06738887
macd_signal,0.06560066
ema_50,0.065182365
macd,0.06479265
close,0.06421906
ema_20,0.06308202
bb_upper,0.06289772
volume,0.062190067
macd_hist,0.060830582
rsi_14,0.05983751
bb_lower,0.058760222
bb_middle,0.05780405
high,0.056281675
open,0.05335573
