feature,importance
obv,0.10326013
atr_14,0.08413798
close,0.06934926
ema_20,0.06329419
ema_50,0.06185397
macd_signal,0.0607272
bb_middle,0.058438834
low,0.05838338
bb_upper,0.05765727
open,0.057615817
rsi_14,0.05702105
bb_lower,0.05530997
macd,0.054784924
high,0.05416098
macd_hist,0.05251155
volume,0.051493447
