feature,importance
ema_50,0.07527223
ema_20,0.070392825
macd_hist,0.068618774
low,0.06670379
atr_14,0.0645061
open,0.064425744
macd,0.06375608
bb_upper,0.06328368
high,0.06268484
close,0.06249995
volume,0.06148377
rsi_14,0.057464205
macd_signal,0.05695886
bb_lower,0.05680362
bb_middle,0.052583452
obv,0.05256209
