feature,importance
atr_14,0.07157752
obv,0.0704415
ema_50,0.068401635
ema_20,0.063995495
rsi_14,0.06390485
close,0.06346603
low,0.063429564
macd,0.062335163
bb_lower,0.06210185
volume,0.061043173
macd_signal,0.06099254
bb_middle,0.05990516
high,0.05954607
macd_hist,0.05876805
bb_upper,0.05690147
open,0.05318995
